id,level,path,prefLabel
http://purl.obolibrary.org/obo/DOID_4,0,disease,disease
http://purl.obolibrary.org/obo/DOID_0060501,1,disease/metal allergy,metal allergy
http://purl.obolibrary.org/obo/DOID_1417,1,disease/choroid disease,choroid disease
http://purl.obolibrary.org/obo/DOID_2256,1,disease/osteochondrodysplasia,osteochondrodysplasia
http://purl.obolibrary.org/obo/DOID_3082,1,disease/interstitial lung disease,interstitial lung disease
http://purl.obolibrary.org/obo/DOID_0050155,1,disease/sensory system disease,sensory system disease
http://purl.obolibrary.org/obo/DOID_3128,1,disease/anus disease,anus disease
http://purl.obolibrary.org/obo/DOID_12897,1,disease/submandibular gland disease,submandibular gland disease
http://purl.obolibrary.org/obo/DOID_37,1,disease/skin disease,skin disease
http://purl.obolibrary.org/obo/DOID_379,1,disease/external ear disease,external ear disease
http://purl.obolibrary.org/obo/DOID_732,1,disease/urethral disease,urethral disease
http://purl.obolibrary.org/obo/DOID_9993,1,disease/hypoglycemia,hypoglycemia
http://purl.obolibrary.org/obo/DOID_319,1,disease/spinal cord disease,spinal cord disease
http://purl.obolibrary.org/obo/DOID_2825,1,disease/nose disease,nose disease
http://purl.obolibrary.org/obo/DOID_562,1,disease/third cranial nerve disease,third cranial nerve disease
http://purl.obolibrary.org/obo/DOID_561,1,disease/trigeminal nerve disease,trigeminal nerve disease
http://purl.obolibrary.org/obo/DOID_11201,1,disease/parathyroid gland disease,parathyroid gland disease
http://purl.obolibrary.org/obo/DOID_7,1,disease/disease of anatomical entity,disease of anatomical entity
http://purl.obolibrary.org/obo/DOID_863,1,disease/nervous system disease,nervous system disease
http://purl.obolibrary.org/obo/DOID_866,1,disease/vein disease,vein disease
http://purl.obolibrary.org/obo/DOID_1564,1,disease/fungal infectious disease,fungal infectious disease
http://purl.obolibrary.org/obo/DOID_1100,1,disease/ovarian disease,ovarian disease
http://purl.obolibrary.org/obo/DOID_5679,1,disease/retinal disease,retinal disease
http://purl.obolibrary.org/obo/DOID_9098,1,disease/sebaceous gland disease,sebaceous gland disease
http://purl.obolibrary.org/obo/DOID_0060262,1,disease/gallbladder disease,gallbladder disease
http://purl.obolibrary.org/obo/DOID_18,1,disease/urinary system disease,urinary system disease
http://purl.obolibrary.org/obo/DOID_0050177,1,disease/monogenic disease,monogenic disease
http://purl.obolibrary.org/obo/DOID_630,1,disease/genetic disease,genetic disease
http://purl.obolibrary.org/obo/DOID_1962,1,disease/fallopian tube disease,fallopian tube disease
http://purl.obolibrary.org/obo/DOID_1205,1,disease/allergic disease,allergic disease
