path,level,prefLabel,synonym,definition
symptom,0,symptom,,"A symptom is a perceived change in function, sensation, loss, disturbance or appearance reported by a patient indicative of a disease."
symptom/musculoskeletal system symptom,1,musculoskeletal system symptom,,
symptom/musculoskeletal system symptom/torticollis,2,torticollis,twisted neck|wry neck,
symptom/musculoskeletal system symptom/loss of height,2,loss of height,,
symptom/musculoskeletal system symptom/abnormal posture,2,abnormal posture,,
symptom/musculoskeletal system symptom/tetany,2,tetany,,
symptom/musculoskeletal system symptom/postural reaction,2,postural reaction,,
symptom/musculoskeletal system symptom/postural reaction/abnormal hemiwalking,3,abnormal hemiwalking,,
symptom/musculoskeletal system symptom/postural reaction/wheelbarrowing,3,wheelbarrowing,,
symptom/musculoskeletal system symptom/postural reaction/hopping,3,hopping,,
symptom/musculoskeletal system symptom/postural reaction/conscious proprioception,3,conscious proprioception,,
symptom/musculoskeletal system symptom/postural reaction/abnormal hemiwalking hemistanding,3,abnormal hemiwalking hemistanding,,
symptom/musculoskeletal system symptom/postural reaction/abnormal hemistanding,3,abnormal hemistanding,,
symptom/musculoskeletal system symptom/muscle symptom,2,muscle symptom,,
symptom/musculoskeletal system symptom/muscle symptom/muscle tightness,3,muscle tightness,,
symptom/musculoskeletal system symptom/muscle symptom/opisthotonus,3,opisthotonus,,
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness,3,muscle weakness,,
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/limb weakness,4,limb weakness,extremities weakness,
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/limb weakness/leg weakness,5,leg weakness,,
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/limb weakness/arm weakness,5,arm weakness,,
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/hand weakness,4,hand weakness,,"A muscle weakness that is characterized by a reduction in muscle strength, which may be the result of a variety of conditions, such as carpal tunnel syndrome, arthritis, peripheral neuropathy, tendon damage, and ganglion cysts."
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/deltoid muscle weakness,4,deltoid muscle weakness,,
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/sternocleidomastoid weakness,4,sternocleidomastoid weakness,,
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/peripheral muscle weakness,4,peripheral muscle weakness,,
symptom/musculoskeletal system symptom/muscle symptom/muscle cramp,3,muscle cramp,,
symptom/musculoskeletal system symptom/muscle symptom/muscle cramp/leg cramp,4,leg cramp,,
symptom/musculoskeletal system symptom/muscle symptom/muscle twitching,3,muscle twitching,,
symptom/musculoskeletal system symptom/muscle symptom/muscle twitching/facial muscle twitching,4,facial muscle twitching,,
symptom/musculoskeletal system symptom/muscle symptom/muscle necrosis,3,muscle necrosis,,
symptom/musculoskeletal system symptom/muscle symptom/muscle soreness,3,muscle soreness,,
symptom/musculoskeletal system symptom/muscle symptom/muscle tenderness,3,muscle tenderness,,
symptom/musculoskeletal system symptom/muscle symptom/flaccid muscle tone,3,flaccid muscle tone,,
symptom/musculoskeletal system symptom/muscle symptom/cataplexy,3,cataplexy,,"Cataplexy is a muscle symptom characterized by a sudden loss of muscle control with retention of clear consciousness that follows a strong emotional stimulus (as elation, surprise, or anger) and is a characteristic symptom of narcolepsy."
symptom/musculoskeletal system symptom/contracture,2,contracture,,"A musculoskeletal system symptom that is characterized by a permanent tightening of the muscles, tendons, skin, and nearby tissues that causes the joints to shorten and become very stiff."
symptom/musculoskeletal system symptom/arthritis,2,arthritis,,"Arthritis is a musculoskeletal system symptom characterized as an inflammation of joints due to infectious, metabolic, or constitutional causes.|doid/symp duplicate"
symptom/musculoskeletal system symptom/arthritis/acute arthritis,3,acute arthritis,,
symptom/musculoskeletal system symptom/motor weakness,2,motor weakness,,
symptom/musculoskeletal system symptom/motor weakness/inibility to stand,3,inibility to stand,,
symptom/musculoskeletal system symptom/joint symptom,2,joint symptom,,
symptom/musculoskeletal system symptom/joint symptom/joint inflammation,3,joint inflammation,,
symptom/musculoskeletal system symptom/joint symptom/joint inflammation/synovitis,4,synovitis,,Synovitis is a joint inflammation characterized by an inflammation of a synovial membrane usually with pain and swelling of the joint.|doid/symp duplicate
symptom/musculoskeletal system symptom/inability to lie flat,2,inability to lie flat,,
symptom/musculoskeletal system symptom/soft tissue necrosis,2,soft tissue necrosis,,"A musculoskeletal system symptom that is characterized by necrosis (i.e. tissue death) of soft tissue, including muscle, fat, blood vessels, nerves, tendons, and tissues that surround the bones and joints."
symptom/musculoskeletal system symptom/soft tissue necrosis/muscle necrosis,3,muscle necrosis,,
symptom/musculoskeletal system symptom/clubbing of fingers,2,clubbing of fingers,,
symptom/musculoskeletal system symptom/cellulitis,2,cellulitis,,Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.|doid/symp duplicate
symptom/musculoskeletal system symptom/recumbency,2,recumbency,,
symptom/musculoskeletal system symptom/uncoordinated gait,2,uncoordinated gait,,
symptom/musculoskeletal system symptom/decreased jaw tone,2,decreased jaw tone,,
symptom/musculoskeletal system symptom/staggering gait,2,staggering gait,,
symptom/musculoskeletal system symptom/hypokinesia,2,hypokinesia,,Hypokinesia is a musculoskeletal system  symptom characterized by the slow or diminished movement of body musculature. It may be associated with basal ganglia diseases; mental disorders; prolonged inactivity due to illness; experimental protocols used to evaluate the physiologic effects of immobility; and other conditions.
